StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI
MAecho2019-P19_T02,5.147494476813453,6.0473721790462776,5.679728685501457
MAecho2019-P19_T01,5.056245805348308,6.184148890937483,5.769162832271242
MAecho2019-P28_T01,5.638354669333745,6.774223886357614,6.9053807744975675
MAecho2019-P28_T02,5.455321115357702,6.359573868672378,6.0670032513074545
MAecho2019-P05_T02,5.049856007249537,6.244166900663736,5.492391168933086
MAecho2019-P09_T01,5.455321115357702,6.115892125483034,5.879154584674749
MAecho2019-P08_T01,5.389071729816501,6.0063531596017325,5.881656297132421
MAecho2019-P06_T01,4.948759890378168,5.6937321388027,5.322920990254787
MAecho2019-P09_T03,5.298317366548036,5.809142990314028,7.755203229284542
MAecho2019-P08_T02,5.389071729816501,6.0063531596017325,5.875765573927211
MAecho2019-P01_T01,5.521460917862246,6.826545223556594,5.850168285494597
MAecho2019-P09_T02,5.521460917862246,6.008813185442595,5.948828666560827
MAecho2019-P04_T01,5.7430031878094825,5.926926025970411,5.878327276915595
MAecho2019-P01_T02,5.641907070938114,6.93828448401696,6.257275540812811
MAecho2019-P02_T01,5.459585514144159,5.7430031878094825,5.868785374007095
MAecho2019-P06_T02,5.049856007249537,5.69035945432406,5.387360039289911
MAecho2019-P26_T02,5.389071729816501,6.71901315438526,5.708585891016417
MAecho2019-P21_T02,5.147494476813453,6.082218910376446,5.541698895560405
MAecho2019-P02_T02,5.384495062789089,5.6937321388027,5.7317655567390355
MAecho2019-P26_T01,5.455321115357702,6.792344427470809,6.196081745564264
MAecho2019-P21_T01,5.231108616854587,6.214608098422191,6.121919097426792
MAecho2019-P30_T01,5.583496308781699,6.437751649736401,6.193851515589207
MAecho2019-P30_T02,5.583496308781699,6.556778356158042,6.162753237873311
MAecho2019-P10_T02,5.459585514144159,6.045005314036012,5.870049932913969
MAecho2019-P10_T01,5.638354669333745,6.214608098422191,6.004426843956253
NJ12-P16_T2,6.214608098422191,6.598509028614515,5.932952533320531
NJ12-P16_T4,6.244166900663736,6.679599185844383,0.007461016321197074
NJ12-P04_T2,5.455321115357702,6.148468295917647,0.006868913717542887
NJ12-P10_T2,5.455321115357702,6.148468295917647,0.006868913717542887
NJ12-P13_T3,5.455321115357702,5.793013608384144,5.928246890533529
NJ12-P20_T5,5.313205979041787,5.521460917862246,5.762206872175029
NJ12-P13_T1,5.455321115357702,5.7899601708972535,5.767263601419618
NJ12-P07_T3,6.9957661563048505,7.730174795246222,7.117746670458377
NJ12-P09_T5,7.142036574706803,7.7102051944325325,0.006944311618410322
NJ12-P06_T5,5.389071729816501,5.7430031878094825,5.875840660667906
NJ12-P19_T6,6.807934943699926,7.037905963447182,4.001216609610054
NJ12-P06_T6,5.389071729816501,5.638354669333745,5.792852417975077
NJ12-P21_T4,5.049856007249537,5.579729825986222,5.658356152050503
NJ12-P20_T2,5.389071729816501,5.69035945432406,5.766065428905884
NJ12-P15_T5,5.579729825986222,6.461468176353717,6.0591710882537555
NJ12-P01_T2,5.147494476813453,5.579729825986222,5.86485097823355
NJ12-P18_T2,5.384495062789089,6.212606095751519,5.692805487953519
NJ12-P02_T3,5.8377304471659395,6.597145701886651,6.360537039213895
NJ12-P07_T1,7.064759027791802,7.575584651557793,0.007766119171498216
NJ12-P04_T1,5.389071729816501,6.148468295917647,5.891818174335825
NJ12-P05_T4,6.302618975744905,6.461468176353717,4.156245395191411
